================================================================================
                      BLUNDER LESSONS PER GAME SUMMARY
                      Database: FIDE WSTC 2025
================================================================================

GAME ID    | BLUNDERS   | PLAYERS
262        | 3          | Ijlal, Amer (0) vs Calderon Bolanos, Matias Emanuel (0)
264        | 3          | Raaif, Shan (0) vs Kitaeff Mattison, Andres Constantin (0)
265        | 3          | Cadagan Torres, Derek Ivannovha (0) vs Rehan, Khan Nasir (0)
272        | 3          | Zhanabayev, Arystan (0) vs Zhanibek, Alikhan (0)
276        | 3          | Jin, Yueqi (0) vs Camara, Kawsu (0)
277        | 3          | Barsi, Pal (0) vs Desu, Srihaas K (0)
285        | 3          | Rushikhin, Anton (0) vs Yasar, Mehmet Ali (0)
292        | 3          | French Julia, Liam J. (0) vs Callus, Matthew (0)
298        | 3          | Frydendahl, Noah Skotte (0) vs Alguno Openia, Tristan Nash (0)
302        | 3          | XUE, TIANHAO (0) vs Cerny, Zbysek (0)
307        | 3          | David, Kwadwo Yeboah Darko-Mensah (0) vs Garay, Fabio Esteban (0)
310        | 3          | Wysocki, Jakub (0) vs Al Shamli, Al Hasan (0)
311        | 3          | Al Shamli, Dawod (0) vs Wysocka, Maja (0)
326        | 3          | Pranav, K P (0) vs Rajaram, Anika (0)
357        | 3          | Patlar, Muhammet Tugra (0) vs Lieser, Joshua (0)
358        | 3          | Aadhav, Dhamodharan (0) vs Aksu, Yusuf Alp (0)
361        | 3          | Desu, Srihaas K (0) vs Begmuratova, Sarvinoz (0)
363        | 3          | Otetileu, Amanbek (0) vs Gajdacs, Jonathan (0)
368        | 3          | Valenson, Lou (0) vs Clarke, Noah (0)
369        | 3          | Simmons-Patterson, Nathan (0) vs Morard, Basile (0)
387        | 3          | Svecko, Aljaz (0) vs Zhanibek, Alikhan (0)
392        | 3          | Belykh, Sergey A (0) vs Vo, Charlie (0)
399        | 3          | Garay, Fabio Esteban (0) vs Dorfman, Michael (0)
402        | 3          | Xu, Michael (0) vs Wysocki, Michal (0)
405        | 3          | Strozek, Filip (0) vs Verma, Audvik (0)
408        | 3          | Jarrin Zhang, Dominick Yong Heng (0) vs Chen, Yumu (0)
409        | 3          | Luo, Yancheng (0) vs Cadagan Torres, Derek Ivannovha (0)
410        | 3          | Galvez Aguirre, Valentina (0) vs Gwatidzo, Ropafadzo (0)
416        | 3          | Sanchez George, Alondra (0) vs SKYLAR, AMOR (0)
417        | 3          | Alguno Openia, Tristan Nash (0) vs Asamoah-Okyere, Kofi Asamoah (0)
424        | 3          | Ticha, Barbora (0) vs Al Shamli, Dawod (0)
426        | 3          | Ravshanov, Sheralijon (0) vs Manchanda, Advik (0)
434        | 3          | Tomcaniova, Lucia (0) vs Sathsindu, W M Minura (0)
440        | 3          | Gajdacs, Jonathan (0) vs Gut, Lionel (0)
441        | 3          | Gut, Raphael (0) vs Biro, Beata (0)
442        | 3          | Biro, Csilla (0) vs Infanger, Philip (0)
461        | 3          | Istratova, Nika (0) vs Pham Kieu, Khanh (0)
469        | 3          | Sakhokia, Luka (0) vs Lichtenberger, Leonidas (0)
472        | 3          | Sethuramalingam, Karthik (0) vs Gvirtz, Noam (0)
477        | 3          | Maniati, Konstantina (0) vs Zhumabek, Nursaya (0)
485        | 3          | Bauyrzhan, Nurgul (0) vs Rehan, Khan Nasir (0)
493        | 3          | Maral, Chinguun (0) vs Solan, Arnav (0)
499        | 3          | Gomes Barranco, Manuel Ignacio (0) vs Goreslavskiy, Leon (0)
500        | 3          | Belykh, Sergey A (0) vs Kitaeff Mattison, Andres Constantin (0)
508        | 3          | Vervaeke, Noah Rinholm (0) vs Chen, Yumu (0)
510        | 3          | ZANIC, MATIJA (0) vs Galvez Aguirre, Valentina (0)
512        | 3          | Camara, Kawsu (0) vs Campe Sanchez, Diego (0)
518        | 3          | Alguno Openia, Tristan Nash (0) vs Xu, Michael (0)
521        | 3          | Verma, Audvik (0) vs Tomasdottir, Katrin Osk (0)
524        | 3          | Polansky, Matej (0) vs Garay, Mario Fernando (0)
530        | 3          | Garcia Sanchez, Fabrizio (0) vs David, Kwadwo Yeboah Darko-Mensah (0)
541        | 3          | Nurgaliyeva, Zarina (0) vs Tang, Dylan (0)
542        | 3          | Rajaram, Anika (0) vs Daulet, Alikhan (0)
553        | 3          | Lakota, Jan (0) vs Porat, Tori (0)
563        | 3          | Ijlal, Amer (0) vs Radnaev, Mikael (0)
568        | 3          | Rodin, Robert (0) vs Keith, Matthew (0)
572        | 3          | Khassenov, Miras (0) vs Gajdacs, Jonathan (0)
574        | 3          | Munara, Asset (0) vs Berczes, Attila (0)
581        | 3          | Maniati, Konstantina (0) vs Sender, Battsengel (0)
582        | 3          | Daniil, Daniil (0) vs Grooten, Tommy (0)
583        | 3          | Huang, Wendy (0) vs Thrasyvoulou, Alexandros (0)
585        | 3          | Gang, Kevin Wan Ze (0) vs Alichanides, Ioannis (0)
590        | 3          | Wilson, Hannah (0) vs Frydendahl, Noah Skotte (0)
596        | 3          | Arsenidze, Giorgi (0) vs Kitaeff Mattison, Andres Constantin (0)
604        | 3          | Wysocka, Maja (0) vs Zhumabek, Nursaya (0)
616        | 3          | ZUZIC, JAKOV (0) vs Gostautas, Antanas (0)
631        | 3          | Chaitezvi, Crystal (0) vs SKYLAR, AMOR (0)
635        | 3          | Mayunusov, Anis (0) vs Bobadilla Deras, Ximena (0)
636        | 3          | Cortes Camacho, Gael I. (0) vs Al Kalbani, Khalid Waleed (0)
637        | 3          | Al Shekaili, Khalid (0) vs Garcia Sanchez, Fabrizio (0)
649        | 3          | Sathsindu, W M Minura (0) vs Rajaram, Anika (0)
654        | 3          | MAMEDOV, EDGAR (0) vs Archer, Ollie (0)
659        | 3          | Petrosyan, Hamlet (0) vs Gut, Lionel (0)
660        | 3          | Gut, Raphael (0) vs Vardanyan, Arman M. (0)
661        | 3          | Alvanjyan, Aida (0) vs Infanger, Philip (0)
668        | 3          | Biro, Beata (0) vs Aksu, Yusuf Alp (0)
695        | 3          | Gvirtz, Noam (0) vs Gang, Kevin Wan Ze (0)
699        | 3          | Gan, Wei En Justin (0) vs Zhumabek, Nursaya (0)
701        | 3          | Santhosh, Pranav (0) vs Khassenov, Miras (0)
703        | 3          | Desu, Srihaas K (0) vs Tuyenbayeva, Aisara (0)
704        | 3          | ZANIC, MATIJA (0) vs Assylbek, Aldiyar (0)
717        | 3          | SHEN, YUZHENG (0) vs Reifer-Belle, Chanon (0)
726        | 3          | Jain, Rayan (0) vs Polansky, Matej (0)
729        | 3          | Campe Sanchez, Diego (0) vs Azimov, Shokhrukh (0)
746        | 3          | KARAKASIDIS, MICHAIL (0) vs Ijlal, Amer (0)
765        | 3          | Radnaev, Leo (0) vs Porat, Tori (0)
770        | 3          | Infanger, Philip (0) vs Lapidus, Alexey M. (0)
772        | 3          | Petrosyan, Hamlet (0) vs Urangoo, Gurvanbaatar (0)
776        | 3          | Ijtaba, Amer (0) vs Valdats, Reinis (0)
777        | 3          | Jansone, Melanija Luize (0) vs Raaif, Shan (0)
785        | 3          | Chia, Zhi Kai Aaron (0) vs Ganeshram, Nirupa (0)
789        | 3          | Munara, Asset (0) vs Lieser, Joshua (0)
829        | 3          | Reifer-Belle, Chaz (0) vs Maurstad, Anker Moe (0)
834        | 3          | Galvez Aguirre, Valentina (0) vs Alguno Openia, Tristan Nash (0)
839        | 3          | Moyo, Ginevieve (0) vs Al Shekaili, Khalid (0)
850        | 3          | Bobadilla Deras, Ximena (0) vs Garcia Sanchez, Fabian (0)
4          | 2          | Harpsoe, Naya (0) vs Daulet, Alikhan (0)
7          | 2          | Sodbaatar, Batsaikhan (0) vs Ilamparthi, A.. (0)
11         | 2          | Porat, Tori (0) vs Arsenidze, Giorgi (0)
13         | 2          | Hoch, Guy (0) vs Germanovs, Georgijs (0)
15         | 2          | Regev, Berry (0) vs Jansone, Melanija Luize (0)
16         | 2          | Diners, Kirils (0) vs Gvirtz, Noam (0)
22         | 2          | Sailaubay, Aldiyar (0) vs Gomes Barranco, Manuel Ignacio (0)
26         | 2          | Thrasyvoulou, Alexandros (0) vs Lakota, Jan (0)
34         | 2          | Yarushin, Michael (0) vs Rajaram, Rohan (0)
43         | 2          | Radnaev, Leo (0) vs Jin, Yueqi (0)
46         | 2          | Huang, Wendy (0) vs Calleja Falzon, Benjamin (0)
50         | 2          | Otetileu, Amanbek (0) vs Keith, Matthew (0)
56         | 2          | Sathsindu, W M Minura (0) vs Kraeva, Ekaterina (0)
58         | 2          | SHEN, YUZHENG (0) vs Khalilova, Madinabonu (0)
59         | 2          | Obidjonov, Oriyat (0) vs Chen, Yumu (0)
62         | 2          | Gajdacs, Jonathan (0) vs Garay, Fabio Esteban (0)
63         | 2          | Garay, Mario Fernando (0) vs Biro, Beata (0)
67         | 2          | Pham Kieu, Khanh (0) vs Ciszewska, Pola (0)
68         | 2          | Strozek, Filip (0) vs Valenson, Lou (0)
69         | 2          | Anuzis, Finas (0) vs KARAKASIDIS, MICHAIL (0)
76         | 2          | Tomasdottir, Katrin Osk (0) vs Gan, Wei En Justin (0)
78         | 2          | Petrosyan, Hamlet (0) vs Brabcova, Nikola (0)
81         | 2          | Ijlal, Amer (0) vs Galvez Aguirre, Valentina (0)
85         | 2          | Asamoah-Okyere, Kofi Asamoah (0) vs Gorkov, Kirill (0)
86         | 2          | Rodin, Robert (0) vs David, Kwadwo Yeboah Darko-Mensah (0)
89         | 2          | Alemanova, Yasmina (0) vs Al Kalbani, Khalid Waleed (0)
91         | 2          | Zhanabayev, Arystan (0) vs Al Shamli, Dawod (0)
99         | 2          | Berdibaeva, Edisa (0) vs Saifiev, Murodali (0)
101        | 2          | Svecko, Aljaz (0) vs Moyo, Ginevieve (0)
103        | 2          | Skitek, Dominik (0) vs Gwena, Precious (0)
104        | 2          | OZKAYNAKCI, KAYRA (0) vs Cortes Camacho, Gael I. (0)
107        | 2          | French Julia, Liam J. (0) vs Yasar, Mehmet Ali (0)
115        | 2          | Biro, Csilla (0) vs Ilamparthi, A.. (0)
117        | 2          | Wu, Taiwei (0) vs Morard, Ambroise (0)
119        | 2          | Lantz, Brian (0) vs Morard, Basile (0)
122        | 2          | Jansone, Melanija Luize (0) vs Tarchanidis, Nikolaos Christos (0)
124        | 2          | Goh, Zi Han (0) vs Mattenberger, Matthias (0)
129        | 2          | Petrosyan, Hamlet (0) vs Sailaubay, Aldiyar (0)
134        | 2          | Lapidus, Alexey M. (0) vs Raaif, Shan (0)
142        | 2          | Tuyenbayeva, Aisara (0) vs Dukembayeva, Kamila (0)
146        | 2          | Lichtenberger, Leonidas (0) vs ZUZIC, JAKOV (0)
151        | 2          | Cebulc, Miha (0) vs Lieser, Joshua (0)
152        | 2          | Aadhav, Dhamodharan (0) vs Skitek, Dominik (0)
158        | 2          | Hitka, Dominik (0) vs Prasad, Anika (0)
166        | 2          | Urangoo, Gurvanbaatar (0) vs SHEN, YUZHENG (0)
170        | 2          | Garay, Fabio Esteban (0) vs Kachakhidze, Nikoloz (0)
171        | 2          | Arsenidze, Giorgi (0) vs Garay, Mario Fernando (0)
174        | 2          | Dorfman, Michael (0) vs Wysocki, Jakub (0)
176        | 2          | Bar Zeev, Lavie (0) vs Ciszewska, Pola (0)
181        | 2          | Alguno Openia, Tristan Nash (0) vs Calderon Bolanos, Matias Emanuel (0)
183        | 2          | Egilsson, Kristofer Arni (0) vs Kitaeff Mattison, Andres Constantin (0)
185        | 2          | Cerny, Zbysek (0) vs Wilson, Hannah (0)
193        | 2          | Asamoah-Okyere, Kofi Asamoah (0) vs Sazantaev, Bekzathan (0)
195        | 2          | Manchanda, Advik (0) vs Al Kalbani, Khalid Waleed (0)
197        | 2          | Jin, Yueqi (0) vs Al Shamli, Dawod (0)
199        | 2          | Kim, Vivica (0) vs Gauci, Gabriel (0)
204        | 2          | Sapartileuov, Nurassyl (0) vs Shamsov, Ahmad (0)
205        | 2          | Saifiev, Murodali (0) vs Bauyrzhan, Nurgul (0)
210        | 2          | Callus, Matthew (0) vs Namale, Ethan (0)
222        | 2          | Sethuramalingam, Karthik (0) vs Aitmukhanov, Arsen (0)
228        | 2          | KARAKASIDIS, MICHAIL (0) vs Guo, Ethan (0)
234        | 2          | Porat, Tori (0) vs Chia, Zhi Kai Aaron (0)
238        | 2          | Lakota, Jan (0) vs Berdibaeva, Edisa (0)
240        | 2          | Morard, Ambroise (0) vs Huang, Wendy (0)
245        | 2          | Jansone, Melanija Luize (0) vs Alichanides, Ioannis (0)
246        | 2          | Misirlis, Nicos (0) vs Vrublevskis, Atis (0)
247        | 2          | Mattenberger, Matthias (0) vs Orgilon, Batsaikhan (0)
259        | 2          | Wang, Lucas Yuebo (0) vs Petrosyan, Hamlet (0)
270        | 2          | Alemanova, Yasmina (0) vs Sazantaev, Bekzathan (0)
274        | 2          | Manchanda, Advik (0) vs ZANIC, MATIJA (0)
279        | 2          | Svecko, Aljaz (0) vs Otetileu, Amanbek (0)
282        | 2          | OZKAYNAKCI, KAYRA (0) vs Solonenko, Pavel (0)
286        | 2          | Maurstad, Astor Moe (0) vs Kim, Vivica (0)
291        | 2          | Grech, Gabriel (0) vs Garcia Sanchez, Fabrizio (0)
293        | 2          | Micallef Trigona, Luke (0) vs Garcia Sanchez, Fabian (0)
294        | 2          | Galvez Aguirre, Valentina (0) vs Nuti, Reyansh (0)
295        | 2          | Prasad, Anika (0) vs Cartajena Nef, Daniel Andres (0)
296        | 2          | Campe Sanchez, Diego (0) vs Jain, Rayan (0)
306        | 2          | Bobadilla, Diana (0) vs Asamoah-Okyere, Kofi Asamoah (0)
309        | 2          | Al Shekaili, Khalid (0) vs Wysocki, Michal (0)
316        | 2          | Gostautas, Antanas (0) vs Mayunusov, Anis (0)
321        | 2          | Aitmukhanov, Arsen (0) vs Nurgaliyeva, Zarina (0)
322        | 2          | Daulet, Alikhan (0) vs Zarkym, Ailin (0)
329        | 2          | Porat, Tori (0) vs Induwara, T H D Thisarindu (0)
